赟 贇
赠 贈
赡 贍
赢 贏
赣 贛
赪 赬
赵 趙
趱 趲
趸 躉
跃 躍
跄 蹌
跞 躒
践 踐
跶 躂
跷 蹺
跸 蹕
跹 躚
跻 躋
踌 躊
踬 躓
踯 躑
蹑 躡
蹒 蹣
躏 躪
躜 躦
躯 軀
车 車
轧 軋
轨 軌
轩 軒
轪 軑
轫 軔
转 轉
轭 軛
轮 輪
软 軟
轰 轟
轱 軲
轲 軻
轳 轤
轴 軸
轵 軹
轶 軼
轸 軫
轹 轢
轺 軺
轻 輕
轼 軾
载 載
轾 輊
轿 轎
辀 輈
辁 輇
辂 輅
较 較
辄 輒
辅 輔
辆 輛
辇 輦
辈 輩
辉 輝
辊 輥
辋 輞
辌 輬
辍 輟
辎 輜
辏 輳
辐 輻
辑 輯
辒 轀
输 輸
辔 轡
辕 轅
辖 轄
辗 輾
辘 轆
辙 轍
辚 轔
辩 辯
辫 辮
辽 遼
达 達
运 運
进 進
违 違
连 連
迟 遲
选 選
逊 遜
逦 邐
逻 邏
遗 遺
遥 遙
邓 鄧
邝 鄺
邬 鄔
邮 郵
邹 鄒
邺 鄴
邻 鄰
郏 郟
郐 鄶
郓 鄆
郦 酈
郧 鄖
郸 鄲
酂 酇
酝 醖
酦 醱
酱 醬
酽 釅
酾 釃
酿 釀
释 釋
鉴 鑒
銮 鑾
錾 鏨
钅 釒
针 針
钉 釘
钊 釗
钋 釙
钍 釷
钏 釧
钐 釤
钑 鈒
钒 釩
钓 釣
钔 鍆
钖 鍚
钗 釵
钘 鈃
钙 鈣
钚 鈈
钛 鈦
钝 鈍
钞 鈔
钟 鍾 鐘
钠 鈉
钡 鋇
钢 鋼
钣 鈑
钤 鈐
钥 鑰
钦 欽
钧 鈞
钨 鎢
钩 鈎
钪 鈧
钬 鈥
钭 鈄
钮 鈕
钯 鈀
钰 鈺
钱 錢
钲 鉦
钳 鉗
钴 鈷
钵 鉢
钶 鈳
钸 鈽
钹 鈸
钺 鉞
钻 鑽
钼 鉬
钽 鉭
钾 鉀
钿 鈿
铀 鈾
铁 鐵
铃 鈴
铄 鑠
铅 鉛
铇 鉋
铈 鈰
铉 鉉
铊 鉈
铋 鉍
铌 鈮
铍 鈹
铎 鐸
铏 鉶
铐 銬
铒 鉺
铓 鋩
铔 錏
铖 鋮
铗 鋏
铘 鋣
铙 鐃
铚 銍
铛 鐺
铜 銅
铟 銦
铠 鎧
铢 銖
铣 銑
铤 鋌
铥 銩
铦 銛
铧 鏵
铨 銓
铩 鎩
铪 鉿
铫 銚
铬 鉻
铭 銘
铮 錚
铯 銫
铰 鉸
铲 鏟
铳 銃
铴 鐋
铵 銨
银 銀
铷 銣
铸 鑄
铺 鋪
