U+29407 𩐇 ⿱⿰内攵韭
U+2BB9D 𫮝 ⿰土莆
U+20385 𠎅 ⿰亻尋
U+29FA4 𩾤 ⿰𠧒鳥
U+4181 䆁 ⿰禾睪
U+9065 遥 ⿺辶䍃
U+24156 𤅖 ⿰氵蘋
U+27EE7 𧻧 ⿺走𢇛
U+312DA 𱋚 ⿰麦备
U+27D2E 𧴮 ⿹弋貝
U+24DF7 𤷷 ⿸疒𥁄
U+24B9D 𤮝 ⿰⿸虍角瓦
U+20BE1 𠯡 ⿰口⿱上乙
U+4445 䑅 ⿰月夢
U+80CB 胋 ⿰月占
U+43E1 䏡 ⿰月示
U+29D01 𩴁 ⿺鬼咸
U+2CC03 𬰃 ⿱雨沫
U+25242 𥉂 ⿰目荒
U+2CAF9 𬫹 ⿰釒𭯍
U+29C42 𩱂 ⿰鬲⿱丑丑
U+26716 𦜖 ⿰月亞
