#CB编号, 通用字, 原字, 組合表示式
CB01361,,𩍜,[革*睪]                                   
CB01362,,䪊,[革*龍]                                   
CB01365,,䞘,[起-巳+乞]                                 
CB01366,飯,,[飢-几+(〡/下)]                             
CB01367,,𩜶,[飢-几+俞]                                 
CB01368,,𩜁,[飢-几+夌]                                 
CB01369,,䮚,[馬*夌]                                   
CB01374,,𦗚,[斬/耳]                                   
CB01379,輦,𨘧,[這-言+(替-曰+貝)]                           
CB01380,鵯,𪂃,[鳥*卑]                                   
CB01386,,䟡,[跳-兆+氐]                                 
CB01387,,𨁝,[跳-兆+孛]                                 
CB01395,,𠩺,[犛-牛]                                   
CB01403,,㘞,[囗@力]                                   
CB01404,囡,㘝,[囗@又]                                   
CB01406,,𩓪,[彔*頁]                                   
CB01417,隸,,[肄-聿+(入/米)]                             
CB01420,,䔧,[卄/梨]                                   
CB01421,,㖑,[口*戒]                                   
CB01424,屎,𡱁,[尸@矢]                                   
CB01426,,𥊳,[目*善]                                   
CB01428,,𥗫,[石*瞿]                                   
CB01429,,𥹁,[米*乍]                                   
CB01431,,𤠙,[狂-王+哥]                                 
CB01432,,𨏥,[車*憲]                                   
CB01433,醯,𨢘,[酉*益]                                   
CB01435,潘,𤄜,[泳-永+(米*番)]                             
CB01437,圻,,[垢-口+ㄒ]                                 
CB01438,契,𢍆,[契-大+廾]                                 
CB01439,,𤻝,[病-丙+寧]                                 
CB01442,藀,𦳖,[這-言+(茼-一)]                             
CB01443,,𪃆,[鳥*奏]                                   
CB01445,,𧿵,[跳-兆+甲]                                 
CB01446,,𠹥,[榻-木+口]                                 
CB01447,,㯹,[標*寸]                                   
CB01448,,䘘,[衝-重+素]                                 
CB01452,缽,,[盉-木+友]                                 
CB01454,葰,䕑,[卄/綏]                                   
CB01457,,𧋍,[虫*折]                                   
CB01461,,𩉾,[革*甲]                                   
CB01462,,𩝊,[飢-几+是]                                 
CB01464,,㙠,[醫-酉+土]                                 
CB01469,菹,𦵔,[卄/(爻*且)]                               
CB01470,蔥,䓗,[卄/公/心]                                 
CB01472,,㱟,[歹*皮]                                   
CB01474,,㧋,[打-丁+犬]                                 
CB01475,磁,,[石*慈]                                   
CB01476,,𥝖,[禾*乞]                                   
CB01478,,䅌,[禾*肙]                                   
CB01479,,㭰,[此/朿]                                   
CB01480,,𧍗,[虫*若]                                   
CB01481,濬,𤀹,[泳-永+(虍-七+(一/八/八/目))]                   
CB01482,,𥭳,[竺-二+狄]                                 
CB01485,膇,㾽,[病-丙+追]                                 
CB01490,,𣡖,[橐-木+棐]                                 
CB01491,昅,㬤,[韅-革+日]                                 
CB01493,啗,㗖,[口*舀]                                   
CB01496,壕,䧫,[阿-可+豪]                                 
CB01497,,𤷄,[病-丙+卷]                                 
CB01500,磲,,[(石*巨)/木]                               
CB01501,翳,,[(臣*又)/羽]                               
CB01504,,𠅈,[〦/丙]                                   
CB01505,,𦴭,[卄/狠]                                   
CB01506,筋,,[卄/觔]                                   
CB01507,,䔈,[卄/貢]                                   
CB01510,笑,,[口*(美-天+(瞭-目-(日/小)))]                   
CB01511,,㕹,[口*犮]                                   
CB01518,,𡽠,[山/頗]                                   
CB01520,褭,𠌵,[仁-二+鳥]                                 
CB01521,蹙,,[仁-二+韱]                                 
CB01522,,㫭,[日/寺]                                   
CB01524,肥,𦘺,[月*巳]                                   
CB01525,,䏢,[月*皮]                                   
