矮 躷 U+77EE U+8EB7
娟 姢 U+5A1F U+59E2
捲 巻 U+6372 U+5DFB
罥 羂 U+7F65 U+7F82
雋 隽 U+96CB U+96BD
橛 橜 U+6A5B U+6A5C
決 决 U+6C7A U+51B3
絕 絶 U+7D55 U+7D76
絕 绝 U+7D55 U+7EDD
蹶 蹷 U+8E76 U+8E77
鈞 銁 U+921E U+9281
麇 麕 U+9E87 U+9E95
刊 刋 U+520A U+520B
轗 㙳 U+8F57 U+3673
慷 忼 U+6177 U+5FFC
糠 穅 U+7CE0 U+7A45
尻 䯌 U+5C3B U+4BCC
殼 壳 U+6BBC U+58F3
殼 殻 U+6BBC U+6BBB
渴 渇 U+6E34 U+6E07
剋 尅 U+524B U+5C05
肯 肻 U+80AF U+80BB
硜 踁 U+785C U+8E01
恐 𢙢 U+6050 U+22662
寇 冦 U+5BC7 U+51A6
嚳 俈 U+56B3 U+4FC8
褲 绔 U+8932 U+7ED4
寬 寛 U+5BEC U+5BDB
款 欵 U+6B3E U+6B35
曠 昿 U+66E0 U+663F
況 况 U+6CC1 U+51B5
纊 絋 U+7E8A U+7D4B
坤 堃 U+5764 U+5803
崑 崐 U+5D11 U+5D10
闊 濶 U+95CA U+6FF6
剌 巤 U+524C U+5DE4
蜡 䄍 U+8721 U+410D
辣 辢 U+8FA3 U+8FA2
來 来 U+4F86 U+6765
徠 倈 U+5FA0 U+5008
瀨 瀬 U+7028 U+702C
賴 頼 U+8CF4 U+983C
襴 幱 U+8974 U+5E71
纜 䌫 U+7E9C U+432B
郎 郞 U+90CE U+90DE
勞 劳 U+52DE U+52B3
老 耂 U+8001 U+8002
仂 働 U+4EC2 U+50CD
竻 簕 U+7AFB U+7C15
壘 塁 U+58D8 U+5841
類 𩔗 U+985E U+29517
犁 犂 U+7281 U+7282
犛 牦 U+729B U+7266
璃 瓈 U+7483 U+74C8
禮 礼 U+79AE U+793C
裡 裏 U+88E1 U+88CF
利 𥝢 U+5229 U+25762
勵 劢 U+52F5 U+52A2
厲 历 U+53B2 U+5386
歷 历 U+6B77 U+5386
荔 栛 U+8354 U+681B
荔 茘 U+8354 U+8318
隸 隷 U+96B8 U+96B7
奩 匳 U+5969 U+5333
簾 𢅖 U+7C3E U+22156
聯 聨 U+806F U+8068
聯 聫 U+806F U+806B
戀 恋 U+6200 U+604B
煉 錬 U+7149 U+932C
梁 樑 U+6881 U+6A11
涼 鿌 U+6DBC U+9FCC
涼 凉 U+6DBC U+51C9
糧 粮 U+7CE7 U+7CAE
兩 両 U+5169 U+4E21
兩 两 U+5169 U+4E24
喨 哴 U+55A8 U+54F4
輛 輌 U+8F1B U+8F0C
獠 䝤 U+7360 U+4764
尥 尦 U+5C25 U+5C26
撂 㨼 U+6482 U+3A3C
擸 㧜 U+64F8 U+39DC
獵 猎 U+7375 U+730E
獵 猟 U+7375 U+731F
鬣 巤 U+9B23 U+5DE4
鄰 隣 U+9130 U+96A3
麟 麐 U+9E9F U+9E90
吝 悋 U+541D U+608B
靈 灵 U+9748 U+7075
靈 霊 U+9748 U+970A
齡 齢 U+9F61 U+9F62
劉 刘 U+5289 U+5218
榴 橊 U+69B4 U+6A4A
瀏 嚠 U+700F U+56A0
琉 瑠 U+7409 U+7460
琉 璢 U+7409 U+74A2
留 畄 U+7559 U+7544
罶 羀 U+7F76 U+7F80
礱 𤮨 U+7931 U+24BA8
龍 竜 U+9F8D U+7ADC
漊 溇 U+6F0A U+6E87
顱 髗 U+9871 U+9AD7
櫓 舮 U+6AD3 U+822E
櫓 艪 U+6AD3 U+826A
磠 硵 U+78E0 U+7875
轆 樚 U+8F46 U+6A1A
圞 圝 U+571E U+571D
鸞 鵉 U+9E1E U+9D49
亂 乱 U+4E82 U+4E71
略 畧 U+7565 U+7567
崙 崘 U+5D19 U+5D18
囉 啰 U+56C9 U+5570
囉 罗 U+56C9 U+7F57
羅 罗 U+7F85 U+7F57
騾 驘 U+9A3E U+9A58
