与 與 U+4E0E U+8207
爾 尒 U+723E U+5C12
牄 蹌 U+7244 U+8E4C
牆 廧 U+7246 U+5EE7
版 板 U+7248 U+677F
牟 麰 U+725F U+9EB0
牠 他 U+7260 U+4ED6
犴 豻 U+72B4 U+8C7B
狠 很 U+72E0 U+5F88
狸 貍 U+72F8 U+8C8D
狹 陜 U+72F9 U+965C
猇 唬 U+7307 U+552C
猋 颮 U+730B U+98AE
猗 欹 U+7317 U+6B39
猳 豭 U+7333 U+8C6D
獃 呆 U+7343 U+5446
獧 狷 U+7367 U+72F7
獫 玁 U+736B U+7381
玁 獫 U+7381 U+736B
玄 伭 U+7384 U+4F2D
玖 九 U+7396 U+4E5D
玟 玫 U+739F U+73AB
玫 玟 U+73AB U+739F
珪 圭 U+73EA U+572D
現 見 U+73FE U+898B
琄 鞙 U+7404 U+9799
琝 玟 U+741D U+739F
璁 瑽 U+7481 U+747D
璇 璿 U+7487 U+74BF
璲 隧 U+74B2 U+96A7
瓟 匏 U+74DF U+530F
瓮 甕 U+74EE U+7515
瓷 磁 U+74F7 U+78C1
甕 瓮 U+7515 U+74EE
甖 罃 U+7516 U+7F43
甦 穌 U+7526 U+7A4C
甬 埇 U+752C U+57C7
町 圢 U+753A U+5722
甽 畎 U+753D U+754E
甾 菑 U+753E U+83D1
甿 氓 U+753F U+6C13
畎 甽 U+754E U+753D
畣 答 U+7563 U+7B54
當 儅 U+7576 U+5105
疋 足 U+758B U+8DB3
疸 癉 U+75B8 U+7649
疹 胗 U+75B9 U+80D7
痒 癢 U+75D2 U+7662
痹 痺 U+75F9 U+75FA
痺 痹 U+75FA U+75F9
瘉 癒 U+7609 U+7652
瘖 陰 U+7616 U+9670
瘡 創 U+7621 U+5275
瘨 癲 U+7628 U+7672
瘽 勤 U+763D U+52E4
癉 疸 U+7649 U+75B8
癒 瘉 U+7652 U+7609
癢 痒 U+7662 U+75D2
癲 瘨 U+7672 U+7628
登 豋 U+767B U+8C4B
皋 睾 U+768B U+777E
皓 皝 U+7693 U+769D
皜 暠 U+769C U+66A0
皝 皓 U+769D U+7693
皺 縐 U+76BA U+7E10
盃 杯 U+76C3 U+676F
盤 柈 U+76E4 U+67C8
盩 盭 U+76E9 U+76ED
盪 蕩 U+76EA U+8569
盭 戾 U+76ED U+623E
眇 緲 U+7707 U+7DF2
睏 困 U+774F U+56F0
睾 皋 U+777E U+768B
瞠 瞪 U+77A0 U+77AA
瞥 苤 U+77A5 U+82E4
瞪 瞠 U+77AA U+77A0
瞰 矙 U+77B0 U+77D9
矙 瞰 U+77D9 U+77B0
矛 鉾 U+77DB U+927E
砂 沙 U+7802 U+6C99
砅 濿 U+7805 U+6FFF
研 揅 U+7814 U+63C5
砠 岨 U+7820 U+5CA8
砣 鉈 U+7823 U+9248
